Form,Predicted Gender,True Gender,Class Probabilities,Set,Run
o,m,f,"[('o', {'f': 0.025389263406395912, 'm': 0.9746107459068298})]",test,1
ɛ,m,f,"[('ɛ', {'f': 0.014626593329012394, 'm': 0.9853734374046326})]",test,1
4,m,m,"[('4', {'f': 0.003681411035358906, 'm': 0.9963185787200928})]",test,1
u,m,m,"[('u', {'f': 0.056515734642744064, 'm': 0.9434842467308044})]",test,1
ɛ,m,m,"[('ɛ', {'f': 0.014626593329012394, 'm': 0.9853734374046326})]",test,1
1,m,m,"[('1', {'f': 0.00013523935922421515, 'm': 0.9998646974563599})]",test,1
ʁu,m,f,"[('ʁ', {'f': 0.08725543320178986, 'm': 0.9127445220947266}), ('u', {'f': 0.08176690340042114, 'm': 0.9182331562042236})]",test,1
œf,m,m,"[('œ', {'f': 0.10295676440000534, 'm': 0.8970432281494141}), ('f', {'f': 0.09288188070058823, 'm': 0.9071180820465088})]",test,1
pu,m,m,"[('p', {'f': 0.5793262124061584, 'm': 0.42067378759384155}), ('u', {'f': 0.03715869411826134, 'm': 0.9628413319587708})]",test,1
2t,m,f,"[('2', {'f': 0.0030955192632973194, 'm': 0.9969044327735901}), ('t', {'f': 0.31291836500167847, 'm': 0.6870815753936768})]",test,1
ʁ3,m,m,"[('ʁ', {'f': 0.08725543320178986, 'm': 0.9127445220947266}), ('3', {'f': 0.0047551048919558525, 'm': 0.9952449202537537})]",test,1
ɛz,f,f,"[('ɛ', {'f': 0.014626593329012394, 'm': 0.9853734374046326}), ('z', {'f': 0.9666455388069153, 'm': 0.03335442394018173})]",test,1
ba,m,m,"[('b', {'f': 0.1510113924741745, 'm': 0.8489886522293091}), ('a', {'f': 0.1816672831773758, 'm': 0.8183327317237854})]",test,1
œj,m,m,"[('œ', {'f': 0.10295676440000534, 'm': 0.8970432281494141}), ('j', {'f': 0.020950915291905403, 'm': 0.9790490865707397})]",test,1
ka,m,m,"[('k', {'f': 0.363788902759552, 'm': 0.636211097240448}), ('a', {'f': 0.3512507975101471, 'm': 0.6487491726875305})]",test,1
om,m,m,"[('o', {'f': 0.025389263406395912, 'm': 0.9746107459068298}), ('m', {'f': 0.04525027051568031, 'm': 0.9547497630119324})]",test,1
